bed_id,facility_id,department,bed_type,status
B00644,F01958,Cardiology,General,Available
B00645,F01891,Cardiology,Emergency,Occupied
B00646,F01737,Emergency,ICU,Maintenance
B00647,F00363,Orthopedics,ICU,Occupied
B00648,F01320,Orthopedics,ICU,Occupied
B00649,F00068,Dermatology,General,Occupied
B00650,F00438,Neurology,Emergency,Occupied
B00651,F01016,Oncology,General,Occupied
B00652,F01556,Cardiology,Private,Available
B00653,F01807,Emergency,Private,Available
B00654,F01629,Oncology,Private,Available
B00655,F01157,Neurology,Emergency,Occupied
B00656,F01319,Neurology,General,Occupied
B00657,F00296,Oncology,ICU,Available
B00658,F00647,Dermatology,Private,Occupied
B00659,F01992,Pediatrics,Private,Occupied
B00660,F01888,Orthopedics,General,Occupied
B00661,F01892,Neurology,ICU,Occupied
B00662,F00033,Oncology,Emergency,Occupied
B00663,F01398,Neurology,Private,Available
B00664,F01829,Orthopedics,Private,Occupied
B00665,F00032,Dermatology,Private,Available
B00666,F00555,Orthopedics,ICU,Available
B00667,F01983,Cardiology,Private,Occupied
B00668,F01828,Orthopedics,ICU,Occupied
B00669,F01890,Pediatrics,Private,Occupied
B00670,F00305,Cardiology,Private,Occupied
B00671,F00793,Dermatology,ICU,Available
B00672,F01132,Oncology,ICU,Available
B00673,F00096,Emergency,Emergency,Occupied
B00674,F01090,Neurology,General,Occupied
B00675,F00521,Pediatrics,Private,Available
B00676,F00230,Pediatrics,Private,Occupied
B00677,F00733,Cardiology,General,Available
B00678,F00358,Neurology,General,Occupied
B00679,F00402,Cardiology,General,Occupied
B00680,F00790,General Medicine,Private,Occupied
B00681,F00099,General Medicine,Private,Available
B00682,F00271,Cardiology,Private,Occupied
B00683,F01799,Neurology,ICU,Occupied
B00684,F01933,Dermatology,Emergency,Occupied
B00685,F00362,Neurology,Emergency,Occupied
B00686,F01188,Orthopedics,General,Available
B00687,F00528,Dermatology,General,Occupied
B00688,F01193,Pediatrics,Private,Occupied
B00689,F01045,Oncology,Emergency,Available
B00690,F00540,Cardiology,Emergency,Occupied
B00691,F01866,Dermatology,ICU,Occupied
B00692,F00595,Pediatrics,Private,Occupied
B00693,F01809,Dermatology,Private,Available
B00694,F00833,Pediatrics,Emergency,Available
B00695,F00397,General Medicine,Emergency,Maintenance
B00696,F01060,General Medicine,ICU,Available
B00697,F00495,Emergency,ICU,Available
B00698,F00314,Dermatology,Private,Occupied
B00699,F00490,Dermatology,ICU,Available
B00700,F01300,Cardiology,Emergency,Occupied
B00701,F00233,Emergency,Private,Available
B00702,F01640,Oncology,Emergency,Available
B00703,F01460,Cardiology,Private,Available
B00704,F01030,Neurology,Private,Occupied
B00705,F01559,Oncology,Emergency,Occupied
B00706,F01706,Cardiology,Private,Occupied
B00707,F00664,Oncology,Private,Occupied
B00708,F00244,Dermatology,ICU,Maintenance
B00709,F00241,Neurology,Emergency,Occupied
B00710,F01797,Oncology,Emergency,Occupied
B00711,F01952,Neurology,ICU,Occupied
B00712,F00558,Cardiology,Private,Available
B00713,F01297,Neurology,General,Available
B00714,F00075,Pediatrics,General,Occupied
B00715,F00283,Neurology,Emergency,Occupied
B00716,F01732,Pediatrics,ICU,Occupied
B00717,F01559,Pediatrics,Private,Occupied
B00718,F00087,Pediatrics,ICU,Occupied
B00719,F00881,Oncology,Private,Available
B00720,F01657,Orthopedics,Emergency,Occupied
B00721,F00930,Emergency,Emergency,Occupied
B00722,F01173,Dermatology,General,Available
B00723,F01174,Orthopedics,ICU,Occupied
B00724,F01601,Dermatology,Emergency,Occupied
B00725,F00160,Dermatology,ICU,Occupied
B00726,F00446,Neurology,Emergency,Occupied
B00727,F01820,Emergency,Private,Occupied
B00728,F00082,Dermatology,Private,Available
B00729,F01031,Emergency,General,Available
B00730,F00182,Emergency,Emergency,Occupied
B00731,F00870,Cardiology,General,Occupied
B00732,F00966,Neurology,General,Available
B00733,F01550,Oncology,Emergency,Occupied
B00734,F00478,Orthopedics,Emergency,Occupied
B00735,F00183,Emergency,Private,Occupied
B00736,F01338,Dermatology,General,Available
B00737,F01580,Emergency,Private,Available
B00738,F00174,Dermatology,ICU,Maintenance
B00739,F00014,General Medicine,ICU,Available
B00740,F01324,Emergency,General,Occupied
B00741,F01961,Emergency,General,Available
B00742,F00073,General Medicine,Emergency,Occupied
B00743,F01759,Neurology,Emergency,Available
B00744,F00514,Orthopedics,General,Available
B00745,F01746,Oncology,General,Maintenance
B00746,F01797,Pediatrics,ICU,Available
B00747,F00602,Orthopedics,Private,Occupied
B00748,F00343,Neurology,ICU,Available
B00749,F01420,Orthopedics,ICU,Maintenance
B00750,F01870,General Medicine,Private,Occupied
B00751,F01788,Emergency,General,Available
B00752,F01919,Emergency,General,Available
B00753,F00333,Oncology,ICU,Occupied
B00754,F00355,Pediatrics,ICU,Occupied
B00755,F01583,Neurology,Private,Occupied
B00756,F00847,Emergency,Emergency,Occupied
B00757,F00163,Neurology,Emergency,Occupied
B00758,F00116,Cardiology,General,Occupied
B00759,F01427,Dermatology,Emergency,Occupied
B00760,F01103,Pediatrics,General,Occupied
B00761,F01471,Dermatology,General,Maintenance
B00762,F01907,Neurology,General,Occupied
B00763,F01032,Orthopedics,Private,Available
B00764,F01047,Orthopedics,ICU,Occupied
B00765,F01805,Orthopedics,Emergency,Occupied
B00766,F00791,Orthopedics,Private,Occupied
B00767,F00543,Neurology,Emergency,Available
B00768,F00414,General Medicine,Private,Occupied
B00769,F00682,Pediatrics,Emergency,Occupied
B00770,F00642,Orthopedics,Emergency,Occupied
B00771,F01931,Neurology,ICU,Occupied
B00772,F01433,Emergency,Emergency,Occupied
B00773,F00669,Emergency,Private,Occupied
B00774,F00022,Neurology,Emergency,Occupied
B00775,F01662,Orthopedics,ICU,Available
B00776,F01427,Cardiology,Emergency,Available
B00777,F00969,Neurology,Private,Occupied
B00778,F01705,Pediatrics,Emergency,Occupied
B00779,F01702,Pediatrics,ICU,Available
B00780,F01181,Cardiology,ICU,Occupied
B00781,F00330,Oncology,ICU,Occupied
B00782,F01046,Emergency,ICU,Occupied
B00783,F01496,Emergency,General,Available
B00784,F01288,Neurology,ICU,Available
B00785,F01327,Cardiology,Emergency,Maintenance
B00786,F00902,Neurology,Emergency,Available
B00787,F01799,Neurology,Emergency,Available
B00788,F00724,Cardiology,Emergency,Available
B00789,F01489,Emergency,General,Occupied
B00790,F01188,Dermatology,General,Available
B00791,F01160,General Medicine,General,Occupied
B00792,F00252,Orthopedics,Emergency,Available
B00793,F00205,Orthopedics,Private,Occupied
B00794,F01880,Orthopedics,Private,Occupied
B00795,F01326,Cardiology,Emergency,Occupied
B00796,F01266,Neurology,ICU,Occupied
B00797,F00832,Dermatology,ICU,Occupied
B00798,F01951,Dermatology,Emergency,Occupied
B00799,F00791,Neurology,ICU,Available
B00800,F01085,Pediatrics,ICU,Available
B00801,F00465,Dermatology,Private,Available
B00802,F01842,Neurology,Emergency,Available
B00803,F01326,Emergency,General,Available
B00804,F01496,General Medicine,Private,Available
B00805,F01835,Orthopedics,Emergency,Occupied
B00806,F00394,Dermatology,Emergency,Occupied
B00807,F01631,Oncology,Private,Available
B00808,F01021,Emergency,ICU,Occupied
B00809,F00660,Emergency,ICU,Occupied
B00810,F00912,Dermatology,Private,Available
B00811,F01998,Dermatology,Emergency,Occupied
B00812,F01283,General Medicine,General,Occupied
B00813,F01566,Orthopedics,Emergency,Occupied
B00814,F00530,Dermatology,General,Available
B00815,F01211,Cardiology,General,Maintenance
B00816,F01990,General Medicine,Emergency,Occupied
B00817,F01236,Emergency,Emergency,Occupied
B00818,F01059,Dermatology,Emergency,Occupied
B00819,F01171,Neurology,General,Available
B00820,F01306,Orthopedics,ICU,Occupied
B00821,F01571,Pediatrics,General,Occupied
B00822,F01612,Oncology,General,Occupied
B00823,F01608,General Medicine,General,Occupied
B00824,F01273,Emergency,Private,Occupied
B00825,F00057,Cardiology,ICU,Occupied
B00826,F01893,Emergency,General,Occupied
B00827,F01329,Pediatrics,General,Occupied
B00828,F00522,Dermatology,Private,Occupied
B00829,F01749,Dermatology,General,Occupied
B00830,F00361,Cardiology,ICU,Occupied
B00831,F01261,Orthopedics,General,Available
B00832,F00234,General Medicine,ICU,Occupied
B00833,F01949,Cardiology,ICU,Available
B00834,F00223,Pediatrics,Emergency,Occupied
B00835,F01640,Emergency,Private,Occupied
B00836,F00327,Pediatrics,Private,Occupied
B00837,F01122,Neurology,Private,Occupied
B00838,F01250,Cardiology,Emergency,Occupied
B00839,F01758,Oncology,Emergency,Occupied
B00840,F00836,General Medicine,ICU,Occupied
B00841,F00489,General Medicine,Private,Available
B00842,F00478,Emergency,Emergency,Available
B00843,F00985,Emergency,Emergency,Occupied
B00844,F01358,Dermatology,Emergency,Occupied
B00845,F00792,Emergency,ICU,Available
B00846,F01579,Neurology,General,Occupied
B00847,F01887,Oncology,Emergency,Available
B00848,F00512,Pediatrics,Emergency,Maintenance
B00849,F01013,Emergency,Emergency,Available
B00850,F00382,Dermatology,Private,Occupied
B00851,F01447,Cardiology,Private,Occupied
B00852,F01372,Emergency,Emergency,Available
B00853,F01177,Pediatrics,ICU,Occupied
B00854,F01875,Cardiology,General,Available
B00855,F00452,Cardiology,Private,Occupied
B00856,F01314,Cardiology,General,Available
B00857,F01760,Pediatrics,Emergency,Occupied
B00858,F01143,Emergency,Private,Occupied
B00859,F00214,Pediatrics,General,Occupied
B00860,F00565,Pediatrics,Emergency,Occupied
B00861,F00732,Orthopedics,Private,Occupied
B00862,F00439,Dermatology,Emergency,Occupied
B00863,F00755,Pediatrics,Private,Occupied
B00864,F01589,Neurology,General,Occupied
B00865,F01938,Dermatology,General,Occupied
B00866,F00629,Orthopedics,Private,Occupied
B00867,F00903,Cardiology,ICU,Occupied
B00868,F01471,Emergency,Emergency,Occupied
B00869,F01867,General Medicine,General,Available
B00870,F01066,Emergency,ICU,Occupied
B00871,F00395,Orthopedics,Private,Available
B00872,F00247,Dermatology,General,Occupied
B00873,F00905,Orthopedics,General,Occupied
B00874,F01315,Dermatology,Emergency,Occupied
B00875,F00248,Dermatology,ICU,Occupied
B00876,F01637,Cardiology,Emergency,Occupied
B00877,F00599,Pediatrics,Private,Occupied
B00878,F00865,Pediatrics,General,Occupied
B00879,F01473,Orthopedics,ICU,Occupied
B00880,F00084,Pediatrics,Emergency,Occupied
B00881,F00773,Orthopedics,ICU,Occupied
B00882,F01245,Emergency,Private,Occupied
B00883,F01690,General Medicine,General,Maintenance
B00884,F00051,Emergency,ICU,Available
B00885,F00550,General Medicine,Private,Occupied
B00886,F00771,Cardiology,Private,Occupied
B00887,F00981,Oncology,General,Occupied
B00888,F01211,Neurology,Emergency,Occupied
B00889,F01549,Neurology,General,Occupied
B00890,F01247,Oncology,General,Occupied
B00891,F00465,Emergency,ICU,Occupied
B00892,F00419,Pediatrics,ICU,Occupied
B00893,F00087,Neurology,Emergency,Occupied
B00894,F00259,General Medicine,Private,Occupied
B00895,F01205,Cardiology,ICU,Occupied
B00896,F00311,General Medicine,Emergency,Occupied
B00897,F00173,Dermatology,General,Occupied
B00898,F01346,Orthopedics,Private,Maintenance
B00899,F01731,Pediatrics,General,Maintenance
B00900,F01364,Pediatrics,Private,Occupied
B00901,F01520,Neurology,ICU,Available
B00902,F01269,Oncology,General,Occupied
B00903,F00940,Orthopedics,General,Occupied
B00904,F00505,Neurology,Private,Available
B00905,F00329,Dermatology,Emergency,Occupied
B00906,F01904,Neurology,Private,Occupied
B00907,F00196,Neurology,ICU,Occupied
B00908,F00062,Orthopedics,Emergency,Occupied
B00909,F01049,Neurology,General,Occupied
B00910,F01588,Dermatology,General,Maintenance
B00911,F00562,Pediatrics,General,Occupied
B00912,F01402,Oncology,ICU,Available
B00913,F00897,Neurology,General,Occupied
B00914,F01319,Orthopedics,General,Available
B00915,F01076,Orthopedics,Emergency,Available
B00916,F00844,Oncology,ICU,Occupied
B00917,F00040,Oncology,General,Occupied
B00918,F01768,General Medicine,Emergency,Occupied
B00919,F01596,Neurology,General,Maintenance
B00920,F00728,Orthopedics,Emergency,Occupied
B00921,F00457,Emergency,General,Available
B00922,F00878,Neurology,ICU,Occupied
B00923,F01876,Cardiology,Private,Available
B00924,F01733,Oncology,ICU,Occupied
B00925,F00788,Pediatrics,Emergency,Occupied
B00926,F01877,Pediatrics,General,Occupied
B00927,F00002,Emergency,ICU,Occupied
B00928,F01493,Neurology,General,Occupied
B00929,F01130,Dermatology,ICU,Occupied
B00930,F00216,Pediatrics,Emergency,Occupied
B00931,F00777,Oncology,Private,Occupied
B00932,F00679,Pediatrics,ICU,Occupied
B00933,F01783,Dermatology,General,Occupied
B00934,F00414,Cardiology,General,Occupied
B00935,F01974,Pediatrics,General,Available
B00936,F00210,Pediatrics,Emergency,Occupied
B00937,F01082,Orthopedics,Emergency,Occupied
B00938,F01964,Pediatrics,Private,Available
B00939,F00043,Neurology,General,Occupied
B00940,F00138,Pediatrics,Private,Occupied
B00941,F01645,Neurology,General,Occupied
B00942,F01513,Pediatrics,ICU,Occupied
B00943,F01584,Neurology,ICU,Available
B00944,F00638,Pediatrics,ICU,Occupied
B00945,F00469,Oncology,General,Occupied
B00946,F00726,Emergency,ICU,Available
B00947,F01937,Oncology,General,Occupied
B00948,F01664,Neurology,Private,Occupied
B00949,F01413,Pediatrics,Emergency,Available
B00950,F01222,Dermatology,ICU,Occupied
B00951,F00202,Cardiology,General,Occupied
B00952,F00192,Orthopedics,General,Occupied
B00953,F00107,Oncology,Private,Occupied
B00954,F01730,Orthopedics,Private,Occupied
B00955,F00327,Orthopedics,Emergency,Available
B00956,F00750,Dermatology,Private,Occupied
B00957,F00644,Orthopedics,Emergency,Occupied
B00958,F00357,Oncology,Emergency,Occupied
B00959,F00595,Dermatology,Private,Maintenance
B00960,F00501,Cardiology,Emergency,Occupied
B00961,F01308,Emergency,ICU,Occupied
B00962,F00468,Emergency,Emergency,Occupied
B00963,F00508,Cardiology,General,Occupied
B00964,F01758,Oncology,General,Occupied
B00965,F00106,Pediatrics,General,Available
B00966,F01318,Cardiology,Private,Occupied
B00967,F01090,Orthopedics,General,Occupied
B00968,F00195,Dermatology,Private,Occupied
B00969,F01212,Oncology,General,Available
B00970,F00047,Oncology,Emergency,Occupied
B00971,F01386,Emergency,Private,Available
B00972,F01009,General Medicine,General,Maintenance
B00973,F01895,Pediatrics,Emergency,Occupied
B00974,F00537,Neurology,Private,Maintenance
B00975,F01602,Emergency,Emergency,Occupied
B00976,F01511,Orthopedics,Emergency,Occupied
B00977,F00847,Dermatology,Emergency,Available
B00978,F01603,Emergency,Private,Available
B00979,F00709,Dermatology,Private,Available
B00980,F01270,Orthopedics,ICU,Occupied
B00981,F00808,Orthopedics,ICU,Available
B00982,F00612,Emergency,ICU,Available
B00983,F01202,Emergency,ICU,Occupied
B00984,F00115,Emergency,Private,Available
B00985,F00680,Cardiology,ICU,Maintenance
B00986,F00631,Emergency,General,Occupied
B00987,F01189,Dermatology,ICU,Available
B00988,F00219,Neurology,General,Available
B00989,F00197,Pediatrics,General,Available
B00990,F00401,Orthopedics,Emergency,Occupied
B00991,F01854,Oncology,Emergency,Occupied
B00992,F00749,Emergency,Emergency,Maintenance
B00993,F00681,Neurology,ICU,Occupied
B00994,F00076,General Medicine,Private,Available
B00995,F01450,Dermatology,General,Occupied
B00996,F00287,Emergency,Private,Occupied
B00997,F01569,Cardiology,Private,Occupied
B00998,F01323,Orthopedics,ICU,Available
B00999,F00861,Neurology,Private,Occupied
B01000,F00742,Dermatology,Private,Occupied
B01001,F01731,Emergency,Emergency,Occupied
B01002,F00294,Oncology,Emergency,Occupied
B01003,F00809,Neurology,General,Occupied
B01004,F00886,Orthopedics,General,Available
B01005,F01471,Neurology,Emergency,Available
B01006,F01960,Neurology,ICU,Occupied
B01007,F00414,Dermatology,ICU,Occupied
B01008,F00431,Emergency,General,Occupied
B01009,F01814,Emergency,Emergency,Occupied
B01010,F01254,Dermatology,ICU,Available
B01011,F01120,Oncology,Private,Occupied
B01012,F01919,Pediatrics,General,Occupied
B01013,F01463,Cardiology,General,Occupied
B01014,F00171,Pediatrics,Private,Occupied
B01015,F01341,Cardiology,Private,Occupied
B01016,F01866,Cardiology,General,Occupied
B01017,F00544,Pediatrics,Private,Occupied
B01018,F01515,Dermatology,ICU,Occupied
B01019,F01412,Orthopedics,General,Occupied
B01020,F00989,Dermatology,ICU,Available
B01021,F01581,Neurology,General,Occupied
B01022,F00072,Oncology,ICU,Available
B01023,F01023,General Medicine,Emergency,Available
B01024,F00532,Pediatrics,ICU,Occupied
B01025,F00239,Pediatrics,Private,Available
B01026,F00711,Orthopedics,Emergency,Occupied
B01027,F00577,Oncology,General,Occupied
B01028,F01724,Neurology,ICU,Occupied
B01029,F01113,Emergency,General,Available
B01030,F01946,Dermatology,Emergency,Occupied
B01031,F00713,Pediatrics,Private,Occupied
B01032,F01559,General Medicine,Private,Occupied
B01033,F01832,Neurology,Private,Occupied
B01034,F00642,Pediatrics,General,Occupied
B01035,F01178,Oncology,Private,Maintenance
B01036,F00590,Emergency,Private,Occupied
B01037,F00190,Pediatrics,General,Occupied
B01038,F00812,Emergency,General,Occupied
B01039,F01439,Cardiology,Emergency,Occupied
B01040,F01178,Cardiology,Private,Occupied
B01041,F01015,Pediatrics,Emergency,Available
B01042,F00625,Oncology,ICU,Available
B01043,F01363,Orthopedics,ICU,Maintenance
B01044,F00629,Cardiology,ICU,Available
B01045,F01541,Pediatrics,ICU,Occupied
B01046,F00889,Emergency,General,Available
B01047,F01862,Neurology,Emergency,Available
B01048,F01059,Oncology,Emergency,Available
B01049,F00784,Dermatology,General,Available
B01050,F00671,Emergency,ICU,Available
B01051,F00722,Oncology,Emergency,Occupied
B01052,F00526,Oncology,Private,Occupied
B01053,F00537,General Medicine,General,Occupied
B01054,F00847,Cardiology,General,Occupied
B01055,F01242,Dermatology,Private,Available
B01056,F01278,Dermatology,ICU,Available
B01057,F00996,Dermatology,ICU,Occupied
B01058,F01227,Pediatrics,Emergency,Occupied
B01059,F01125,Cardiology,Private,Occupied
B01060,F01385,Emergency,Emergency,Occupied
B01061,F01765,Emergency,ICU,Occupied
B01062,F01735,Neurology,Emergency,Occupied
B01063,F00914,Oncology,Private,Occupied
B01064,F00178,Orthopedics,Private,Occupied
B01065,F00276,Pediatrics,Private,Occupied
B01066,F00312,Neurology,ICU,Available
B01067,F01666,General Medicine,General,Occupied
B01068,F01434,Pediatrics,General,Available
B01069,F00791,Oncology,General,Occupied
B01070,F01312,General Medicine,Emergency,Occupied
B01071,F01677,Oncology,Private,Occupied
B01072,F01549,Orthopedics,ICU,Maintenance
B01073,F01425,Pediatrics,General,Occupied
B01074,F01241,Pediatrics,General,Available
B01075,F00698,Oncology,Emergency,Available
B01076,F01494,Dermatology,Emergency,Available
B01077,F00027,Oncology,General,Occupied
B01078,F00913,Neurology,Private,Available
B01079,F01754,Cardiology,Private,Available
B01080,F00422,Pediatrics,Emergency,Available
B01081,F01038,Orthopedics,Emergency,Available
B01082,F00501,Pediatrics,Private,Occupied
B01083,F01678,Pediatrics,Emergency,Occupied
B01084,F00908,Pediatrics,Emergency,Available
B01085,F00325,Dermatology,Private,Occupied
B01086,F01348,Oncology,Private,Available
B01087,F01591,Pediatrics,ICU,Maintenance
B01088,F01727,Oncology,Emergency,Available
B01089,F00285,Orthopedics,Emergency,Maintenance
B01090,F01113,Oncology,ICU,Occupied
B01091,F01069,Neurology,Emergency,Available
B01092,F01668,Cardiology,Emergency,Occupied
B01093,F00498,Orthopedics,General,Occupied
B01094,F00912,Orthopedics,General,Occupied
B01095,F01522,General Medicine,General,Occupied
B01096,F01602,Cardiology,ICU,Available
B01097,F01815,Dermatology,Emergency,Occupied
B01098,F01860,Neurology,ICU,Available
B01099,F01684,Oncology,ICU,Occupied
B01100,F00145,Emergency,Emergency,Available
B01101,F00948,Neurology,Private,Available
B01102,F01542,Oncology,Private,Available
B01103,F00082,Emergency,Emergency,Occupied
B01104,F00980,General Medicine,Private,Available
B01105,F01659,General Medicine,General,Occupied
B01106,F01191,Dermatology,Emergency,Available
B01107,F01773,Orthopedics,ICU,Occupied
B01108,F01129,Neurology,General,Occupied
B01109,F01826,Emergency,ICU,Occupied
B01110,F00488,Neurology,Private,Occupied
B01111,F01774,Emergency,Emergency,Available
B01112,F01334,Neurology,General,Occupied
B01113,F00082,Orthopedics,Emergency,Available
B01114,F00094,Emergency,General,Occupied
B01115,F01345,Neurology,General,Maintenance
B01116,F00343,Pediatrics,General,Occupied
B01117,F00797,Oncology,Emergency,Occupied
B01118,F01833,General Medicine,General,Available
B01119,F00361,Dermatology,General,Available
B01120,F01855,General Medicine,Emergency,Occupied
B01121,F01952,Emergency,ICU,Occupied
B01122,F01090,General Medicine,Private,Occupied
B01123,F00624,Dermatology,Emergency,Occupied
B01124,F00868,Oncology,Emergency,Available
B01125,F00429,General Medicine,General,Occupied
B01126,F01425,Pediatrics,Emergency,Occupied
B01127,F00171,Cardiology,Emergency,Occupied
B01128,F01783,Neurology,Private,Occupied
B01129,F00578,Oncology,Emergency,Available
B01130,F00068,Emergency,General,Available
B01131,F01516,General Medicine,Private,Occupied
B01132,F01058,Neurology,Emergency,Occupied
B01133,F00001,Neurology,General,Occupied
B01134,F00151,Oncology,Private,Maintenance
B01135,F00902,Pediatrics,Emergency,Occupied
B01136,F01808,Dermatology,General,Occupied
B01137,F00258,Neurology,Private,Occupied
B01138,F00750,Dermatology,General,Maintenance
B01139,F00628,General Medicine,Private,Available
B01140,F01612,Emergency,Emergency,Occupied
B01141,F00795,Oncology,ICU,Occupied
B01142,F00019,Neurology,Private,Available
B01143,F01820,Pediatrics,Emergency,Occupied
B01144,F00035,Emergency,Private,Occupied
B01145,F00371,Emergency,ICU,Maintenance
B01146,F00491,Emergency,General,Available
B01147,F01860,General Medicine,ICU,Available
B01148,F00817,Pediatrics,ICU,Occupied
B01149,F01265,Oncology,General,Occupied
B01150,F00007,Orthopedics,ICU,Occupied
B01151,F00549,Cardiology,Emergency,Available
B01152,F00371,Neurology,Private,Available
B01153,F01689,Neurology,ICU,Available
B01154,F00757,Neurology,Private,Available
B01155,F01274,Dermatology,Private,Available
B01156,F01139,Orthopedics,General,Occupied
B01157,F01577,Emergency,ICU,Occupied
B01158,F01361,Emergency,General,Occupied
B01159,F00574,Dermatology,General,Occupied
B01160,F00681,Oncology,Private,Occupied
B01161,F01166,Cardiology,Emergency,Available
B01162,F01509,Pediatrics,Private,Occupied
B01163,F01462,Orthopedics,General,Available
B01164,F01794,Orthopedics,ICU,Available
B01165,F00088,General Medicine,Emergency,Occupied
B01166,F00463,Emergency,Emergency,Occupied
B01167,F01072,Orthopedics,ICU,Occupied
B01168,F01971,Oncology,ICU,Occupied
B01169,F00481,Orthopedics,Emergency,Occupied
B01170,F00823,Neurology,General,Available
B01171,F00524,Dermatology,Emergency,Occupied
B01172,F00211,Emergency,Emergency,Occupied
B01173,F00244,General Medicine,Emergency,Occupied
B01174,F00239,Pediatrics,General,Occupied
B01175,F01221,Oncology,ICU,Occupied
B01176,F00769,Cardiology,ICU,Occupied
B01177,F00235,Oncology,ICU,Available
B01178,F00187,Pediatrics,General,Occupied
B01179,F00713,General Medicine,General,Available
B01180,F01639,Neurology,ICU,Occupied
B01181,F01314,Cardiology,Private,Occupied
B01182,F01245,Pediatrics,Private,Occupied
B01183,F00497,Emergency,ICU,Available
B01184,F01520,Emergency,Private,Available
B01185,F01904,Cardiology,Private,Occupied
B01186,F01326,Cardiology,ICU,Available
B01187,F00187,Cardiology,ICU,Occupied
B01188,F01474,Orthopedics,General,Occupied
B01189,F01939,General Medicine,Private,Occupied
B01190,F01436,Emergency,Private,Occupied
B01191,F01635,Emergency,ICU,Occupied
B01192,F00936,General Medicine,Emergency,Occupied
B01193,F01269,Neurology,ICU,Available
B01194,F00313,Emergency,General,Available
B01195,F00819,Pediatrics,Emergency,Available
B01196,F01520,Neurology,Emergency,Occupied
B01197,F00022,Dermatology,Emergency,Available
B01198,F00068,Dermatology,General,Occupied
B01199,F00392,Pediatrics,Private,Available
B01200,F01340,Cardiology,ICU,Maintenance
B01201,F01089,Emergency,General,Occupied
B01202,F01828,Pediatrics,General,Occupied
B01203,F01991,Pediatrics,Emergency,Occupied
B01204,F00729,Oncology,Emergency,Maintenance
B01205,F00541,Cardiology,General,Occupied
B01206,F01729,Dermatology,Private,Available
B01207,F00568,Neurology,Emergency,Occupied
B01208,F01874,Pediatrics,General,Occupied
B01209,F00900,Oncology,Emergency,Available
B01210,F00212,Emergency,ICU,Occupied
B01211,F01774,Neurology,ICU,Occupied
B01212,F00200,Neurology,ICU,Occupied
B01213,F00987,General Medicine,Emergency,Available
B01214,F00178,Dermatology,Emergency,Occupied
B01215,F01447,Oncology,Private,Occupied
B01216,F00931,Oncology,ICU,Available
B01217,F01689,Emergency,Private,Occupied
B01218,F01486,Oncology,General,Occupied
B01219,F00044,Emergency,General,Occupied
B01220,F01455,Cardiology,ICU,Occupied
B01221,F00168,Cardiology,Private,Occupied
B01222,F00287,Oncology,Emergency,Available
B01223,F00709,Orthopedics,Private,Available
B01224,F00337,Emergency,General,Occupied
B01225,F00586,Oncology,Private,Occupied
B01226,F01195,Oncology,General,Occupied
B01227,F01916,Dermatology,General,Occupied
B01228,F00183,Neurology,Private,Available
B01229,F00016,Oncology,Emergency,Occupied
B01230,F01520,Orthopedics,General,Available
B01231,F01604,Emergency,Private,Occupied
B01232,F00887,Cardiology,General,Occupied
B01233,F00837,Dermatology,ICU,Occupied
B01234,F01578,Oncology,Emergency,Occupied
B01235,F00110,Cardiology,ICU,Available
B01236,F01577,Emergency,General,Occupied
B01237,F00306,Orthopedics,Emergency,Occupied
B01238,F00980,Cardiology,Private,Occupied
B01239,F00006,Cardiology,Private,Available
B01240,F00843,General Medicine,Emergency,Available
B01241,F01717,Pediatrics,ICU,Occupied
B01242,F01297,Oncology,ICU,Available
B01243,F00361,Emergency,Emergency,Occupied
B01244,F01209,General Medicine,Private,Available
B01245,F01859,Dermatology,Emergency,Available
B01246,F00656,Pediatrics,ICU,Occupied
B01247,F01972,Emergency,General,Occupied
B01248,F01124,General Medicine,Private,Maintenance
B01249,F01114,Oncology,Emergency,Occupied
B01250,F00984,General Medicine,General,Available
B01251,F01270,Emergency,ICU,Occupied
B01252,F01263,Neurology,Private,Occupied
B01253,F01954,Orthopedics,Emergency,Available
B01254,F00724,Emergency,ICU,Occupied
B01255,F01105,General Medicine,Emergency,Occupied
B01256,F00115,Neurology,Emergency,Occupied
B01257,F00276,General Medicine,Private,Occupied
B01258,F00080,Orthopedics,ICU,Occupied
B01259,F01592,Dermatology,ICU,Available
B01260,F00179,Oncology,General,Available
B01261,F01333,Neurology,ICU,Available
B01262,F00561,Emergency,ICU,Available
B01263,F00509,Pediatrics,Private,Available
B01264,F00260,Dermatology,General,Available
B01265,F01810,Orthopedics,Private,Available
B01266,F00292,Oncology,ICU,Occupied
B01267,F00885,Cardiology,General,Occupied
B01268,F00291,Emergency,Private,Occupied
B01269,F00542,Oncology,General,Available
B01270,F01910,Emergency,ICU,Occupied
B01271,F00764,Emergency,General,Occupied
B01272,F01087,Neurology,General,Occupied
B01273,F00594,Cardiology,General,Maintenance
B01274,F01429,Dermatology,ICU,Available
B01275,F00948,Dermatology,ICU,Occupied
B01276,F00480,Neurology,General,Available
B01277,F01349,Pediatrics,Private,Available
B01278,F00381,Neurology,Private,Occupied
B01279,F01705,Emergency,ICU,Occupied
B01280,F00310,General Medicine,Emergency,Occupied
B01281,F01367,Cardiology,Private,Occupied
B01282,F01694,Cardiology,General,Available
B01283,F01499,Dermatology,Emergency,Available
B01284,F01080,Dermatology,ICU,Available
B01285,F00847,Neurology,Private,Occupied
